# Constructed from biom file
#ASV ID	GZ_Bl_1	GZ_Bl_2	GZ_Bl_3	SX_Bl_1	SX_Bl_2	SX_Bl_3	GZ_Rs_1	GZ_Rs_2	GZ_Rs_3	SX_Rs_1	SX_Rs_2	SX_Rs_3
ASV_66	349.0	69.0	379.0	364.0	349.0	172.0	0.0	28.0	0.0	0.0	0.0	0.0
ASV_136	7.0	0.0	0.0	14.0	11.0	13.0	203.0	84.0	98.0	923.0	113.0	236.0
ASV_154	0.0	0.0	0.0	0.0	0.0	0.0	1580.0	0.0	0.0	0.0	0.0	0.0
ASV_159	13.0	0.0	0.0	23.0	21.0	0.0	440.0	174.0	384.0	72.0	258.0	122.0
ASV_119	0.0	0.0	0.0	0.0	0.0	10.0	483.0	128.0	410.0	152.0	223.0	79.0
ASV_163	0.0	0.0	28.0	35.0	53.0	81.0	285.0	149.0	232.0	374.0	79.0	114.0
ASV_170	7.0	0.0	2.0	5.0	0.0	0.0	433.0	202.0	358.0	211.0	64.0	125.0
ASV_168	64.0	11.0	129.0	203.0	373.0	213.0	100.0	62.0	125.0	37.0	0.0	84.0
ASV_161	99.0	0.0	132.0	282.0	411.0	468.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_157	673.0	0.0	0.0	163.0	490.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_63	147.0	19.0	64.0	147.0	124.0	71.0	172.0	126.0	170.0	87.0	169.0	55.0
ASV_135	256.0	28.0	326.0	401.0	204.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_139	103.0	0.0	190.0	196.0	410.0	169.0	82.0	33.0	68.0	47.0	15.0	30.0
ASV_173	61.0	6.0	59.0	465.0	526.0	197.0	21.0	0.0	0.0	0.0	0.0	0.0
ASV_188	719.0	0.0	0.0	88.0	506.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_174	118.0	0.0	114.0	611.0	359.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_172	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	54.0	1137.0	57.0	0.0
ASV_114	147.0	51.0	170.0	274.0	233.0	394.0	0.0	20.0	0.0	0.0	0.0	0.0
ASV_199	0.0	0.0	0.0	6.0	0.0	0.0	140.0	70.0	118.0	99.0	750.0	89.0
ASV_132	363.0	17.0	237.0	245.0	258.0	35.0	9.0	0.0	84.0	0.0	0.0	0.0
ASV_171	60.0	0.0	121.0	275.0	621.0	125.0	30.0	14.0	0.0	0.0	0.0	0.0
ASV_209	19.0	0.0	0.0	369.0	778.0	0.0	22.0	0.0	28.0	0.0	10.0	8.0
