Model,BestParams,CVAccuracy,TestAccuracy,AUC
Logistic Regression,{'C': 0.1},0.611111111111111,0.75,1.0
Random Forest,"{'max_depth': 5, 'n_estimators': 50}",0.611111111111111,1.0,1.0
Gradient Boosting,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7777777777777777,1.0,1.0
SVM,"{'C': 1, 'gamma': 'scale'}",0.38888888888888884,0.75,0.0
