Model,BestParams,CVAccuracy,TestAccuracy,AUC
Logistic Regression,{'C': 1},1.0,1.0,1.0
Random Forest,"{'max_depth': 5, 'n_estimators': 50}",1.0,1.0,1.0
Gradient Boosting,"{'learning_rate': 0.1, 'n_estimators': 50}",1.0,0.9305555555555556,1.0
SVM,"{'C': 10, 'gamma': 'scale'}",0.8980519480519481,0.9861111111111112,1.0
